Name,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Chromosome,Start,End,Strand,ID,locus_tag,num_control_bcs
rfaI,6,-5.7293,1.7e-05,1.0,d1,FQ312003.1,3934828,3935842,-,gene-SL1344_3684,SL1344_3684,15bc
rfbG,3,-4.5691,1.7e-05,1.0,d1,FQ312003.1,2169980,2171060,-,gene-SL1344_2068,SL1344_2068,15bc
sapG,2,-6.0047,1.7e-05,1.0,d1,FQ312003.1,3601252,3602629,+,gene-SL1344_3376,SL1344_3376,15bc
rfaL,4,-1.9105,1.7e-05,1.0,d1,FQ312003.1,3929603,3930818,+,gene-SL1344_3679,SL1344_3679,15bc
xerC,2,-6.5196,1.7e-05,1.0,d1,FQ312003.1,4175331,4176234,+,gene-SL1344_3903,SL1344_3903,15bc
gidA,2,-6.7244,1.7e-05,1.0,d1,FQ312003.1,4103208,4105098,-,gene-SL1344_3841,SL1344_3841,15bc
iolR,2,-4.6029,1.7e-05,1.0,d1,FQ312003.1,4679121,4679955,+,gene-SL1344_4350,SL1344_4350,15bc
talC,1,-9.3133,1.7e-05,1.0,d1,FQ312003.1,4345255,4345918,-,gene-SL1344_4059,SL1344_4059,15bc
rfbX,2,-5.273,1.7e-05,1.0,d1,FQ312003.1,2166339,2167632,-,gene-SL1344_2065,SL1344_2065,15bc
rfbK,3,-1.505,1.7e-05,1.0,d1,FQ312003.1,2160147,2161581,-,gene-SL1344_2060,SL1344_2060,15bc
SL1344_1976,4,-0.90595,1.7e-05,1.0,d1,FQ312003.1,2078784,2079774,+,gene-SL1344_1976,SL1344_1976,15bc
rfc,3,-1.5013,1.7e-05,1.0,d1,FQ312003.1,1366939,1368163,-,gene-SL1344_1266,SL1344_1266,15bc
aph(3'')-Ib,5,-2.3757,1.7e-05,2.9e-05,d1,HE654726.1,7850,8654,-,gene-SL1344_P3_0014,SL1344_P3_0014,15bc
trkH,2,-3.3023,1.7e-05,1.0,d1,FQ312003.1,4215217,4216669,+,gene-SL1344_3939,SL1344_3939,15bc
SL1344_3976,3,-5.1858,1.7e-05,1.0,d1,FQ312003.1,4261086,4261515,-,gene-SL1344_3976,SL1344_3976,15bc
ilvD,2,-2.7726,1.7e-05,1.0,d1,FQ312003.1,4133531,4135382,+,gene-SL1344_3864,SL1344_3864,15bc
rfbH,2,-3.1545,1.7e-05,1.0,d1,FQ312003.1,2168640,2169954,-,gene-SL1344_2067,SL1344_2067,15bc
SL1344_4239,3,-1.69,1.7e-05,1.0,d1,FQ312003.1,4569885,4570152,-,gene-SL1344_4239,SL1344_4239,15bc
sseD,3,-1.247,1.7e-05,1.0,d1,FQ312003.1,1443318,1443906,+,gene-SL1344_1335,SL1344_1335,15bc
ssaD,6,-0.78728,1.7e-05,1.0,d1,FQ312003.1,1438727,1439939,+,gene-SL1344_1329,SL1344_1329,15bc
rfbC,2,-2.7022,1.7e-05,1.0,d1,FQ312003.1,2172832,2173384,-,gene-SL1344_2071,SL1344_2071,15bc
rfaB,2,-2.5295,1.7e-05,1.0,d1,FQ312003.1,3935847,3936927,-,gene-SL1344_3685,SL1344_3685,15bc
repA,1,-7.8506,1.7e-05,1.0,d1,HE654724.1,91052,91934,-,gene-SL1344_P1_0099,SL1344_P1_0099,15bc
repA,1,-7.8506,1.7e-05,1.0,d1,HE654726.1,1987,2827,-,gene-SL1344_P3_0004,SL1344_P3_0004,15bc
iadA,2,-2.5516,1.7e-05,1.0,d1,FQ312003.1,4786675,4787848,-,gene-SL1344_4443,SL1344_4443,15bc
rfbI,2,-2.1797,1.7e-05,1.0,d1,FQ312003.1,2171834,2172827,-,gene-SL1344_2070,SL1344_2070,15bc
rfaG,1,-7.4487,1.7e-05,1.0,d1,FQ312003.1,3938051,3939176,-,gene-SL1344_3688,SL1344_3688,15bc
ssaV,5,-0.8125,1.7e-05,1.0,d1,FQ312003.1,1450507,1452553,+,gene-SL1344_1348,SL1344_1348,15bc
repC,1,-7.1192,1.7e-05,1.0,d1,HE654724.1,92241,92487,-,gene-SL1344_P1_0102,SL1344_P1_0102,15bc
repC,1,-7.1192,1.7e-05,1.0,d1,HE654726.1,1149,1998,-,gene-SL1344_P3_0003,SL1344_P3_0003,15bc
SL1344_4471,2,-1.4157,1.7e-05,1.0,d1,FQ312003.1,4819137,4820148,+,gene-SL1344_4471,SL1344_4471,15bc
lpp,1,-5.8891,1.7e-05,1.0,d1,FQ312003.1,1416230,1416467,-,gene-SL1344_1311,SL1344_1311,15bc
yedF,2,-1.3335,1.7e-05,1.0,d1,FQ312003.1,2012571,2012805,+,gene-SL1344_1895,SL1344_1895,15bc
