Name,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Chromosome,Start,End,Strand,ID,locus_tag,num_control_bcs
rfaJ,4,-3.7022,0.001272,0.999995,d1,FQ312003.1,3933800,3934811,-,gene-SL1344_3683,SL1344_3683,5bc
rfaI,3,-5.9287,0.001272,0.999995,d1,FQ312003.1,3934828,3935842,-,gene-SL1344_3684,SL1344_3684,5bc
rfaP,3,-8.3635,0.001272,0.999995,d1,FQ312003.1,3937261,3938059,-,gene-SL1344_3687,SL1344_3687,5bc
rfbH,2,-4.4797,0.020038,0.999995,d1,FQ312003.1,2168640,2169954,-,gene-SL1344_2067,SL1344_2067,5bc
mobA,5,-1.3616,0.035442,0.999995,d1,FQ312003.1,4223633,4224218,-,gene-SL1344_3942,SL1344_3942,5bc
mobA,5,-1.3616,0.035442,0.999995,d1,HE654726.1,3337,5467,-,gene-SL1344_P3_0008,SL1344_P3_0008,5bc
rfbI,2,-3.0175,0.028626,0.999995,d1,FQ312003.1,2171834,2172827,-,gene-SL1344_2070,SL1344_2070,5bc
mdoH,3,-2.0914,0.035782,0.999995,d1,FQ312003.1,1194086,1196630,+,gene-SL1344_1088,SL1344_1088,5bc
rfaK,3,-0.9322,0.065579,0.999995,d1,FQ312003.1,3930874,3931738,-,gene-SL1344_3680,SL1344_3680,5bc
arcB,2,-7.8954,0.050763,0.999995,d1,FQ312003.1,3511908,3514245,-,gene-SL1344_3300,SL1344_3300,5bc
rfbV,1,-3.8711,0.036896,0.999995,d1,FQ312003.1,2165333,2166335,-,gene-SL1344_2064,SL1344_2064,5bc
rfaB,2,-2.8723,0.073473,0.999995,d1,FQ312003.1,3935847,3936927,-,gene-SL1344_3685,SL1344_3685,5bc
rfbP,2,-2.3217,0.077217,0.999995,d1,FQ312003.1,2158645,2160076,-,gene-SL1344_2059,SL1344_2059,5bc
rfbN,2,-2.1323,0.126972,0.999995,d1,FQ312003.1,2163007,2163952,-,gene-SL1344_2062,SL1344_2062,5bc
rfaL,2,-1.4668,0.140506,0.999995,d1,FQ312003.1,3929603,3930818,+,gene-SL1344_3679,SL1344_3679,5bc
repA,4,-1.1057,0.208106,0.999995,d1,HE654724.1,91052,91934,-,gene-SL1344_P1_0099,SL1344_P1_0099,5bc
repA,4,-1.1057,0.208106,0.999995,d1,HE654726.1,1987,2827,-,gene-SL1344_P3_0004,SL1344_P3_0004,5bc
menC,2,-1.7125,0.162917,0.999995,d1,FQ312003.1,2410752,2411715,-,gene-SL1344_2275,SL1344_2275,5bc
nrdG,2,-1.4378,0.162917,0.999995,d1,FQ312003.1,4712550,4713015,-,gene-SL1344_4381,SL1344_4381,5bc
rfbF,1,-4.7246,0.100055,0.999995,d1,FQ312003.1,2171064,2171838,-,gene-SL1344_2069,SL1344_2069,5bc
fadD,3,-0.87828,0.205153,0.999995,d1,FQ312003.1,1872786,1874472,-,gene-SL1344_1747,SL1344_1747,5bc
rfc,3,-0.40566,0.294688,0.376166,d1,FQ312003.1,1366939,1368163,-,gene-SL1344_1266,SL1344_1266,5bc
tufB,2,-1.4999,0.266308,0.999995,d1,FQ312003.1,4381933,4383118,+,gene-SL1344_4085,SL1344_4085,5bc
yabN,3,-0.45862,0.312214,0.999995,d1,FQ312003.1,126850,128509,-,gene-SL1344_0109,SL1344_0109,5bc
rfbG,1,-4.1587,0.162917,0.999995,d1,FQ312003.1,2169980,2171060,-,gene-SL1344_2068,SL1344_2068,5bc
hybC,1,-4.1626,0.294688,0.999995,d1,FQ312003.1,3329489,3331193,-,gene-SL1344_3121,SL1344_3121,5bc
SL1344_1602,4,-0.61017,0.563554,0.999995,d1,FQ312003.1,1722494,1723607,+,gene-SL1344_1602,SL1344_1602,5bc
lrhA,2,-1.1957,0.510377,0.999995,d1,FQ312003.1,2437840,2438779,-,gene-SL1344_2299,SL1344_2299,5bc
frdC,1,-3.4562,0.372137,0.999995,d1,FQ312003.1,4603429,4603825,-,gene-SL1344_4278,SL1344_4278,5bc
iscA,1,-8.5305,0.39935,0.999995,d1,FQ312003.1,2678486,2678810,-,gene-SL1344_2503,SL1344_2503,5bc
hybE,1,-3.4078,0.408533,0.999995,d1,FQ312003.1,3328514,3329003,-,gene-SL1344_3119,SL1344_3119,5bc
SL1344_4468,2,-0.76346,0.563554,0.999995,d1,FQ312003.1,4816440,4817220,+,gene-SL1344_4468,SL1344_4468,5bc
prgH,2,-0.57325,0.563554,0.999995,d1,FQ312003.1,3038917,3040096,-,gene-SL1344_2854,SL1344_2854,5bc
ilvE,1,-2.7137,0.464464,0.999995,d1,FQ312003.1,4132441,4133371,+,gene-SL1344_3863,SL1344_3863,5bc
rfbA,1,-7.4391,0.510377,0.999995,d1,FQ312003.1,2173384,2174263,-,gene-SL1344_2072,SL1344_2072,5bc
rfbX,1,-4.0402,0.510377,0.999995,d1,FQ312003.1,2166339,2167632,-,gene-SL1344_2065,SL1344_2065,5bc
lpp,1,-4.2877,0.563554,0.999995,d1,FQ312003.1,1416230,1416467,-,gene-SL1344_1311,SL1344_1311,5bc
SL1344_1469,2,-0.51555,0.728559,0.999995,d1,FQ312003.1,1572185,1573277,+,gene-SL1344_1469,SL1344_1469,5bc
ssaL,2,-0.47805,0.728559,0.999995,d1,FQ312003.1,1449080,1450097,+,gene-SL1344_1346,SL1344_1346,5bc
xerC,1,-7.3244,0.563554,0.999995,d1,FQ312003.1,4175331,4176234,+,gene-SL1344_3903,SL1344_3903,5bc
focA,1,-2.6952,0.563554,0.999995,d1,FQ312003.1,1014004,1014862,-,gene-SL1344_0911,SL1344_0911,5bc
gntR,1,-4.5975,0.563554,0.999995,d1,FQ312003.1,3733488,3734484,-,gene-SL1344_3509,SL1344_3509,5bc
ssaR,4,-0.65588,0.763056,0.999995,d1,FQ312003.1,1455595,1456243,+,gene-SL1344_1353,SL1344_1353,5bc
cpsB2,1,-1.9723,0.563554,0.999995,d1,FQ312003.1,2161567,2163007,-,gene-SL1344_2061,SL1344_2061,5bc
rfbU,1,-2.4158,0.563554,0.999995,d1,FQ312003.1,2163952,2165014,-,gene-SL1344_2063,SL1344_2063,5bc
pstS,1,-2.8089,0.563554,0.999995,d1,FQ312003.1,4084895,4085936,-,gene-SL1344_3824,SL1344_3824,5bc
steC,2,-0.43366,0.740273,0.999995,d1,FQ312003.1,1747009,1748383,-,gene-SL1344_1628,SL1344_1628,5bc
queF,1,-1.8933,0.563554,0.999995,d1,FQ312003.1,3139343,3140192,+,gene-SL1344_2948,SL1344_2948,5bc
