Name,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Chromosome,Start,End,Strand,ID,locus_tag,num_control_bcs
rfaB,6,-2.7246,6.6e-05,1.0,d1,FQ312003.1,3935847,3936927,-,gene-SL1344_3685,SL1344_3685,15bc
rfaL,5,-1.9401,6.6e-05,1.0,d1,FQ312003.1,3929603,3930818,+,gene-SL1344_3679,SL1344_3679,15bc
rfaP,4,-5.8137,6.6e-05,1.0,d1,FQ312003.1,3937261,3938059,-,gene-SL1344_3687,SL1344_3687,15bc
rfaI,3,-6.4235,6.6e-05,1.0,d1,FQ312003.1,3934828,3935842,-,gene-SL1344_3684,SL1344_3684,15bc
dcuR,4,-0.82521,6.6e-05,1.0,d1,FQ312003.1,4570468,4571188,-,gene-SL1344_4240,SL1344_4240,15bc
rbsR,3,-1.4114,6.6e-05,1.0,d1,FQ312003.1,4117854,4118853,+,gene-SL1344_3853,SL1344_3853,15bc
SL1344_2551,5,-0.47697,0.003999,1.0,d1,FQ312003.1,2731591,2732416,-,gene-SL1344_2551,SL1344_2551,15bc
rfaG,2,-10.279,6.6e-05,1.0,d1,FQ312003.1,3938051,3939176,-,gene-SL1344_3688,SL1344_3688,15bc
SL1344_4468,3,-0.88656,0.002687,1.0,d1,FQ312003.1,4816440,4817220,+,gene-SL1344_4468,SL1344_4468,15bc
repA,2,-2.0945,6.6e-05,1.0,d1,HE654724.1,91052,91934,-,gene-SL1344_P1_0099,SL1344_P1_0099,15bc
repA,2,-2.0945,6.6e-05,1.0,d1,HE654726.1,1987,2827,-,gene-SL1344_P3_0004,SL1344_P3_0004,15bc
rfbA,2,-5.5844,6.6e-05,1.0,d1,FQ312003.1,2173384,2174263,-,gene-SL1344_2072,SL1344_2072,15bc
rfaJ,1,-4.1994,6.6e-05,1.0,d1,FQ312003.1,3933800,3934811,-,gene-SL1344_3683,SL1344_3683,15bc
mobA,3,-1.9382,0.002687,1.0,d1,FQ312003.1,4223633,4224218,-,gene-SL1344_3942,SL1344_3942,15bc
mobA,3,-1.9382,0.002687,1.0,d1,HE654726.1,3337,5467,-,gene-SL1344_P3_0008,SL1344_P3_0008,15bc
sipC,6,-0.45944,0.024531,1.0,d1,FQ312003.1,3050432,3051662,-,gene-SL1344_2863,SL1344_2863,15bc
focA,2,-2.3823,6.6e-05,1.0,d1,FQ312003.1,1014004,1014862,-,gene-SL1344_0911,SL1344_0911,15bc
SL1344_2594,3,-0.46505,0.002687,1.0,d1,FQ312003.1,2768984,2770070,+,gene-SL1344_2594,SL1344_2594,15bc
SL1344_3500,1,-3.0823,6.6e-05,1.0,d1,FQ312003.1,3719300,3720056,-,gene-SL1344_3500,SL1344_3500,15bc
mtlR,2,-0.99277,6.6e-05,1.0,d1,FQ312003.1,3899863,3900454,+,gene-SL1344_3652,SL1344_3652,15bc
SL1344_4467,2,-0.85689,6.6e-05,1.0,d1,FQ312003.1,4815953,4816415,+,gene-SL1344_4467,SL1344_4467,15bc
yfgA,2,-2.5358,6.6e-05,1.0,d1,FQ312003.1,2655116,2656121,-,gene-SL1344_2486,SL1344_2486,15bc
SL1344_1564,4,-0.35514,0.064664,1.0,d1,FQ312003.1,1681511,1682159,+,gene-SL1344_1564,SL1344_1564,15bc
hybD,1,-3.5131,6.6e-05,1.0,d1,FQ312003.1,3328995,3329490,-,gene-SL1344_3120,SL1344_3120,15bc
yjfQ,2,-1.0061,0.048611,1.0,d1,FQ312003.1,4643525,4644281,-,gene-SL1344_4314,SL1344_4314,15bc
sseK3,2,-0.60968,0.048611,1.0,d1,FQ312003.1,2040502,2041510,+,gene-SL1344_1928,SL1344_1928,15bc
SL1344_P3_0005,1,-2.161,6.6e-05,1.0,d1,HE654726.1,2856,3063,-,gene-SL1344_P3_0005,SL1344_P3_0005,15bc
rfbN,1,-2.0649,6.6e-05,1.0,d1,FQ312003.1,2163007,2163952,-,gene-SL1344_2062,SL1344_2062,15bc
rfbD,1,-1.8119,6.6e-05,1.0,d1,FQ312003.1,2174310,2175210,-,gene-SL1344_2073,SL1344_2073,15bc
cvpA,1,-9.2114,6.6e-05,1.0,d1,FQ312003.1,2473606,2474095,-,gene-SL1344_2332,SL1344_2332,15bc
rfbP,1,-1.9549,6.6e-05,1.0,d1,FQ312003.1,2158645,2160076,-,gene-SL1344_2059,SL1344_2059,15bc
rfbG,1,-3.1821,6.6e-05,1.0,d1,FQ312003.1,2169980,2171060,-,gene-SL1344_2068,SL1344_2068,15bc
sulII,1,-2.0316,6.6e-05,1.0,d1,HE654726.1,26,842,-,gene-SL1344_P3_0001,SL1344_P3_0001,15bc
SL1344_2697,1,-5.0189,6.6e-05,1.0,d1,FQ312003.1,2879069,2879447,-,gene-SL1344_2697,SL1344_2697,15bc
pilU,7,-0.052055,0.237294,1.0,d1,HE654725.1,72294,72951,-,gene-SL1344_P2_0086,SL1344_P2_0086,15bc
aph(3'')-Ib,1,-1.6286,6.6e-05,1.0,d1,HE654726.1,7850,8654,-,gene-SL1344_P3_0014,SL1344_P3_0014,15bc
rfbV,1,-2.2973,6.6e-05,1.0,d1,FQ312003.1,2165333,2166335,-,gene-SL1344_2064,SL1344_2064,15bc
SL1344_4470,1,-2.3497,6.6e-05,1.0,d1,FQ312003.1,4818058,4819120,+,gene-SL1344_4470,SL1344_4470,15bc
rfbF,1,-2.9652,6.6e-05,1.0,d1,FQ312003.1,2171064,2171838,-,gene-SL1344_2069,SL1344_2069,15bc
SL1344_3499,2,-0.48247,0.048611,1.0,d1,FQ312003.1,3718351,3719257,+,gene-SL1344_3499,SL1344_3499,15bc
SL1344_4441,1,-2.2325,6.6e-05,1.0,d1,FQ312003.1,4784908,4785643,+,gene-SL1344_4441,SL1344_4441,15bc
ompN,2,-0.66486,0.048611,1.0,d1,FQ312003.1,1506528,1507662,-,gene-SL1344_1404,SL1344_1404,15bc
SL1344_1795,2,-0.42147,0.048611,1.0,d1,FQ312003.1,1918289,1918904,+,gene-SL1344_1795,SL1344_1795,15bc
rfbH,1,-3.5417,6.6e-05,1.0,d1,FQ312003.1,2168640,2169954,-,gene-SL1344_2067,SL1344_2067,15bc
trxA,1,-3.408,6.6e-05,1.0,d1,FQ312003.1,4146380,4146710,+,gene-SL1344_3875,SL1344_3875,15bc
trbC,2,-0.77888,0.048611,1.0,d1,HE654724.1,19687,20326,-,gene-SL1344_P1_0017,SL1344_P1_0017,15bc
trbC,2,-0.77888,0.048611,1.0,d1,HE654725.1,37047,39339,-,gene-SL1344_P2_0050,SL1344_P2_0050,15bc
rfaK,1,-1.1039,6.6e-05,1.0,d1,FQ312003.1,3930874,3931738,-,gene-SL1344_3680,SL1344_3680,15bc
allP,2,-0.33366,0.048611,1.0,d1,FQ312003.1,581912,583367,+,gene-SL1344_0515,SL1344_0515,15bc
dpaL,3,-0.28433,0.263316,1.0,d1,FQ312003.1,1050424,1051639,+,gene-SL1344_0939,SL1344_0939,15bc
ssrA,4,-0.33429,0.265473,1.0,d1,FQ312003.1,1433687,1436450,-,gene-SL1344_1326,SL1344_1326,15bc
SL1344_1472,3,-0.3335,0.263316,1.0,d1,FQ312003.1,1575172,1576459,-,gene-SL1344_1472,SL1344_1472,15bc
traF,7,-0.24053,0.263316,1.0,d1,HE654724.1,16421,17171,-,gene-SL1344_P1_0014,SL1344_P1_0014,15bc
traF,7,-0.24053,0.263316,1.0,d1,HE654725.1,66650,67853,-,gene-SL1344_P2_0078,SL1344_P2_0078,15bc
celB,3,-0.2634,0.263316,1.0,d1,FQ312003.1,1349062,1350421,+,gene-SL1344_1248,SL1344_1248,15bc
ssaV,5,-0.25817,0.223425,1.0,d1,FQ312003.1,1450507,1452553,+,gene-SL1344_1348,SL1344_1348,15bc
SL1344_2466,3,-0.24836,0.263316,1.0,d1,FQ312003.1,2616300,2618514,-,gene-SL1344_2466,SL1344_2466,15bc
strB,3,-0.68234,0.263316,1.0,d1,HE654726.1,7014,7860,-,gene-SL1344_P3_0013,SL1344_P3_0013,15bc
aspA,1,-1.78,6.6e-05,1.0,d1,FQ312003.1,4591525,4592962,-,gene-SL1344_4263,SL1344_4263,15bc
srmB,1,-1.9496,6.6e-05,1.0,d1,FQ312003.1,2783315,2784650,+,gene-SL1344_2607,SL1344_2607,15bc
hscB,1,-7.6612,6.6e-05,1.0,d1,FQ312003.1,2677775,2678291,-,gene-SL1344_2502,SL1344_2502,15bc
SL1344_2507,2,-0.31903,0.190919,1.0,d1,FQ312003.1,2681301,2682033,-,gene-SL1344_2507,SL1344_2507,15bc
pnp,1,-3.2127,6.6e-05,1.0,d1,FQ312003.1,3469951,3472087,-,gene-SL1344_3255,SL1344_3255,15bc
traY,7,-0.1481,0.346431,1.0,d1,HE654724.1,31263,31584,-,gene-SL1344_P1_0033,SL1344_P1_0033,15bc
traY,7,-0.1481,0.346431,1.0,d1,HE654725.1,44632,46864,-,gene-SL1344_P2_0056,SL1344_P2_0056,15bc
lon,1,-7.4778,6.6e-05,1.0,d1,FQ312003.1,505027,507382,+,gene-SL1344_0444,SL1344_0444,15bc
SL1344_1477,2,-0.42813,0.190919,1.0,d1,FQ312003.1,1581726,1582806,+,gene-SL1344_1477,SL1344_1477,15bc
yddG,2,-0.41225,0.346431,1.0,d1,FQ312003.1,1610676,1611501,+,gene-SL1344_1502,SL1344_1502,15bc
rfbX,1,-3.9411,6.6e-05,1.0,d1,FQ312003.1,2166339,2167632,-,gene-SL1344_2065,SL1344_2065,15bc
rfaE,1,-6.7409,6.6e-05,1.0,d1,FQ312003.1,3383263,3384697,-,gene-SL1344_3173,SL1344_3173,15bc
prc,1,-2.216,6.6e-05,1.0,d1,FQ312003.1,1898701,1900750,-,gene-SL1344_1774,SL1344_1774,15bc
tdcB,4,-0.26708,0.346431,1.0,d1,FQ312003.1,3432090,3433080,-,gene-SL1344_3216,SL1344_3216,15bc
rpoC,1,-4.6111,6.6e-05,1.0,d1,FQ312003.1,4391343,4395567,+,gene-SL1344_4093,SL1344_4093,15bc
ilvG,1,-1.0356,6.6e-05,1.0,d1,FQ312003.1,4130517,4132164,+,gene-SL1344_3861,SL1344_3861,15bc
SL1344_0708,4,-0.25356,0.346431,1.0,d1,FQ312003.1,791186,793082,+,gene-SL1344_0708,SL1344_0708,15bc
pitA,1,-2.9739,6.6e-05,1.0,d1,FQ312003.1,3779940,3781314,+,gene-SL1344_3554,SL1344_3554,15bc
sseBa,3,-0.45208,0.263316,1.0,d1,FQ312003.1,1440785,1441376,+,gene-SL1344_1332,SL1344_1332,15bc
cyaA,1,-6.0859,6.6e-05,1.0,d1,FQ312003.1,4167911,4170458,+,gene-SL1344_3894,SL1344_3894,15bc
sptP,2,-0.25838,0.346431,1.0,d1,FQ312003.1,3044646,3046278,-,gene-SL1344_2858,SL1344_2858,15bc
stpA,1,-0.97734,6.6e-05,1.0,d1,FQ312003.1,2969800,2970202,-,gene-SL1344_2783,SL1344_2783,15bc
