Name,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Chromosome,Start,End,Strand,ID,locus_tag,num_control_bcs
rfaI,7,-5.4455,2e-05,1.0,d1,FQ312003.1,3934828,3935842,-,gene-SL1344_3684,SL1344_3684,15bc
rfaB,7,-1.9648,2e-05,1.0,d1,FQ312003.1,3935847,3936927,-,gene-SL1344_3685,SL1344_3685,15bc
rfaL,5,-1.9975,2e-05,1.0,d1,FQ312003.1,3929603,3930818,+,gene-SL1344_3679,SL1344_3679,15bc
SL1344_3813,3,-6.7723,2e-05,1.0,d1,FQ312003.1,4073650,4074586,+,gene-SL1344_3813,SL1344_3813,15bc
iolR,3,-5.1052,2e-05,1.0,d1,FQ312003.1,4679121,4679955,+,gene-SL1344_4350,SL1344_4350,15bc
pilR,9,-0.19344,2e-05,1.0,d1,HE654725.1,74137,75235,-,gene-SL1344_P2_0089,SL1344_P2_0089,15bc
rfaP,3,-4.5262,2e-05,1.0,d1,FQ312003.1,3937261,3938059,-,gene-SL1344_3687,SL1344_3687,15bc
SL1344_P3_0012,3,-2.0062,2e-05,1.0,d1,HE654726.1,6503,7043,+,gene-SL1344_P3_0012,SL1344_P3_0012,15bc
rfaJ,3,-2.395,2e-05,1.0,d1,FQ312003.1,3933800,3934811,-,gene-SL1344_3683,SL1344_3683,15bc
rfbA,2,-4.8977,2e-05,1.0,d1,FQ312003.1,2173384,2174263,-,gene-SL1344_2072,SL1344_2072,15bc
cpsB2,3,-0.90365,2e-05,1.0,d1,FQ312003.1,2161567,2163007,-,gene-SL1344_2061,SL1344_2061,15bc
purD,1,-7.7628,2e-05,1.0,d1,FQ312003.1,4412491,4413781,-,gene-SL1344_4114,SL1344_4114,15bc
nrdD,2,-3.8173,2e-05,1.0,d1,FQ312003.1,4713135,4715274,-,gene-SL1344_4382,SL1344_4382,15bc
traG,9,-0.29999,2e-05,1.0,d1,HE654724.1,11188,14011,-,gene-SL1344_P1_0010,SL1344_P1_0010,15bc
traG,9,-0.29999,2e-05,1.0,d1,HE654725.1,66006,66591,-,gene-SL1344_P2_0077,SL1344_P2_0077,15bc
repC,2,-5.8232,2e-05,1.0,d1,HE654724.1,92241,92487,-,gene-SL1344_P1_0102,SL1344_P1_0102,15bc
repC,2,-5.8232,2e-05,1.0,d1,HE654726.1,1149,1998,-,gene-SL1344_P3_0003,SL1344_P3_0003,15bc
