Name,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Chromosome,Start,End,Strand,ID,locus_tag,num_control_bcs
rfaI,3,-4.2849,0.001938,0.999995,d1,FQ312003.1,3934828,3935842,-,gene-SL1344_3684,SL1344_3684,5bc
rbsR,3,-1.7905,0.001938,0.999995,d1,FQ312003.1,4117854,4118853,+,gene-SL1344_3853,SL1344_3853,5bc
traY,7,-0.61908,0.016473,0.999995,d1,HE654724.1,31263,31584,-,gene-SL1344_P1_0033,SL1344_P1_0033,5bc
traY,7,-0.61908,0.016473,0.999995,d1,HE654725.1,44632,46864,-,gene-SL1344_P2_0056,SL1344_P2_0056,5bc
dcuR,4,-0.97798,0.011628,0.999995,d1,FQ312003.1,4570468,4571188,-,gene-SL1344_4240,SL1344_4240,5bc
pilR,6,-0.70406,0.017829,0.999995,d1,HE654725.1,74137,75235,-,gene-SL1344_P2_0089,SL1344_P2_0089,5bc
rfaB,6,-0.72348,0.018734,0.999995,d1,FQ312003.1,3935847,3936927,-,gene-SL1344_3685,SL1344_3685,5bc
traG,6,-0.66514,0.027132,0.999995,d1,HE654724.1,11188,14011,-,gene-SL1344_P1_0010,SL1344_P1_0010,5bc
traG,6,-0.66514,0.027132,0.999995,d1,HE654725.1,66006,66591,-,gene-SL1344_P2_0077,SL1344_P2_0077,5bc
traE,6,-0.40869,0.035271,0.999995,d1,HE654724.1,29945,30512,-,gene-SL1344_P1_0030,SL1344_P1_0030,5bc
traE,6,-0.40869,0.035271,0.999995,d1,HE654725.1,67937,68762,-,gene-SL1344_P2_0079,SL1344_P2_0079,5bc
cib,4,-0.82953,0.035271,0.999995,d1,HE654725.1,8293,10174,+,gene-SL1344_P2_0012,SL1344_P2_0012,5bc
SL1344_P1_0081,4,-0.66976,0.035271,0.999995,d1,HE654724.1,74421,74943,+,gene-SL1344_P1_0081,SL1344_P1_0081,5bc
pilP,5,-0.50235,0.05814,0.999995,d1,HE654725.1,76811,77264,-,gene-SL1344_P2_0091,SL1344_P2_0091,5bc
spvB,4,-0.5614,0.085013,0.999995,d1,HE654724.1,63873,65649,+,gene-SL1344_P1_0068,SL1344_P1_0068,5bc
repA,2,-2.3131,0.080203,0.999995,d1,HE654724.1,91052,91934,-,gene-SL1344_P1_0099,SL1344_P1_0099,5bc
repA,2,-2.3131,0.080203,0.999995,d1,HE654726.1,1987,2827,-,gene-SL1344_P3_0004,SL1344_P3_0004,5bc
rfaL,5,-0.58876,0.133835,0.999995,d1,FQ312003.1,3929603,3930818,+,gene-SL1344_3679,SL1344_3679,5bc
focA,2,-2.1717,0.084994,0.999995,d1,FQ312003.1,1014004,1014862,-,gene-SL1344_0911,SL1344_0911,5bc
traF,7,-0.4814,0.14577,0.999995,d1,HE654724.1,16421,17171,-,gene-SL1344_P1_0014,SL1344_P1_0014,5bc
traF,7,-0.4814,0.14577,0.999995,d1,HE654725.1,66650,67853,-,gene-SL1344_P2_0078,SL1344_P2_0078,5bc
SL1344_P1_0091,4,-0.79245,0.14577,0.999995,d1,HE654724.1,84418,85294,+,gene-SL1344_P1_0091,SL1344_P1_0091,5bc
SL1344_3500,1,-3.1217,0.068798,0.999995,d1,FQ312003.1,3719300,3720056,-,gene-SL1344_3500,SL1344_3500,5bc
pilQ,4,-0.464,0.158169,0.999995,d1,HE654725.1,75247,76801,-,gene-SL1344_P2_0090,SL1344_P2_0090,5bc
traT,3,-0.72404,0.14577,0.999995,d1,HE654724.1,9911,10643,-,gene-SL1344_P1_0008,SL1344_P1_0008,5bc
traT,3,-0.72404,0.14577,0.999995,d1,HE654725.1,52421,53222,-,gene-SL1344_P2_0061,SL1344_P2_0061,5bc
traP,3,-0.59424,0.14577,0.999995,d1,HE654724.1,27211,27808,-,gene-SL1344_P1_0027,SL1344_P1_0027,5bc
traP,3,-0.59424,0.14577,0.999995,d1,HE654725.1,54439,55144,-,gene-SL1344_P2_0065,SL1344_P2_0065,5bc
SL1344_P1_0023,2,-1.0407,0.14577,0.999995,d1,HE654724.1,25660,26128,-,gene-SL1344_P1_0023,SL1344_P1_0023,5bc
hybD,1,-3.4614,0.086967,0.999995,d1,FQ312003.1,3328995,3329490,-,gene-SL1344_3120,SL1344_3120,5bc
SL1344_4468,3,-0.8369,0.163459,0.999995,d1,FQ312003.1,4816440,4817220,+,gene-SL1344_4468,SL1344_4468,5bc
yagA,4,-0.56912,0.207592,0.999995,d1,HE654725.1,6668,8015,+,gene-SL1344_P2_0011,SL1344_P2_0011,5bc
rfaP,2,-2.9332,0.163459,0.999995,d1,FQ312003.1,3937261,3938059,-,gene-SL1344_3687,SL1344_3687,5bc
mtlR,2,-1.283,0.171918,0.999995,d1,FQ312003.1,3899863,3900454,+,gene-SL1344_3652,SL1344_3652,5bc
SL1344_4470,1,-2.3229,0.136736,0.999995,d1,FQ312003.1,4818058,4819120,+,gene-SL1344_4470,SL1344_4470,5bc
aph(3'')-Ib,1,-2.4289,0.149063,0.999995,d1,HE654726.1,7850,8654,-,gene-SL1344_P3_0014,SL1344_P3_0014,5bc
pilK,4,-0.80755,0.313337,0.999995,d1,HE654725.1,81772,82363,-,gene-SL1344_P2_0096,SL1344_P2_0096,5bc
pilO,2,-0.79244,0.229101,0.999995,d1,HE654725.1,77250,78546,-,gene-SL1344_P2_0092,SL1344_P2_0092,5bc
cvpA,1,-7.5068,0.158169,0.999995,d1,FQ312003.1,2473606,2474095,-,gene-SL1344_2332,SL1344_2332,5bc
SL1344_3958,4,-0.25536,0.339067,0.999995,d1,FQ312003.1,4242293,4243535,-,gene-SL1344_3958,SL1344_3958,5bc
pilS,3,-0.30752,0.302787,0.999995,d1,HE654725.1,73505,74120,-,gene-SL1344_P2_0088,SL1344_P2_0088,5bc
ilvG,1,-2.8036,0.163459,0.999995,d1,FQ312003.1,4130517,4132164,+,gene-SL1344_3861,SL1344_3861,5bc
pilU,6,-0.43658,0.381431,0.999995,d1,HE654725.1,72294,72951,-,gene-SL1344_P2_0086,SL1344_P2_0086,5bc
trxA,1,-3.2173,0.171918,0.999995,d1,FQ312003.1,4146380,4146710,+,gene-SL1344_3875,SL1344_3875,5bc
pefC,3,-0.50313,0.340388,0.999995,d1,HE654724.1,80611,82909,+,gene-SL1344_P1_0088,SL1344_P1_0088,5bc
rfaJ,1,-2.1104,0.200218,0.999995,d1,FQ312003.1,3933800,3934811,-,gene-SL1344_3683,SL1344_3683,5bc
SL1344_3499,2,-0.7632,0.313337,0.999995,d1,FQ312003.1,3718351,3719257,+,gene-SL1344_3499,SL1344_3499,5bc
rfaG,1,-9.014,0.207592,0.999995,d1,FQ312003.1,3938051,3939176,-,gene-SL1344_3688,SL1344_3688,5bc
SL1344_4467,2,-0.64802,0.317914,0.999995,d1,FQ312003.1,4815953,4816415,+,gene-SL1344_4467,SL1344_4467,5bc
SL1344_2697,1,-3.9141,0.219601,0.999995,d1,FQ312003.1,2879069,2879447,-,gene-SL1344_2697,SL1344_2697,5bc
SL1344_4441,1,-1.9182,0.229101,0.999995,d1,FQ312003.1,4784908,4785643,+,gene-SL1344_4441,SL1344_4441,5bc
exc,2,-0.63198,0.340388,0.999995,d1,HE654725.1,43905,44568,-,gene-SL1344_P2_0055,SL1344_P2_0055,5bc
rfbF,1,-2.6285,0.235516,0.999995,d1,FQ312003.1,2171064,2171838,-,gene-SL1344_2069,SL1344_2069,5bc
trbC,2,-1.3717,0.34429,0.999995,d1,HE654724.1,19687,20326,-,gene-SL1344_P1_0017,SL1344_P1_0017,5bc
