Name,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Chromosome,Start,End,Strand,ID,locus_tag,num_control_bcs
rfaI,5,-5.5811,0.001389,0.999995,d1,FQ312003.1,3934828,3935842,-,gene-SL1344_3684,SL1344_3684,5bc
traG,8,-0.55189,0.001389,0.999995,d1,HE654724.1,11188,14011,-,gene-SL1344_P1_0010,SL1344_P1_0010,5bc
traG,8,-0.55189,0.001389,0.999995,d1,HE654725.1,66006,66591,-,gene-SL1344_P2_0077,SL1344_P2_0077,5bc
rfaL,4,-1.1027,0.001389,0.999995,d1,FQ312003.1,3929603,3930818,+,gene-SL1344_3679,SL1344_3679,5bc
cib,7,-0.61766,0.007292,0.999995,d1,HE654725.1,8293,10174,+,gene-SL1344_P2_0012,SL1344_P2_0012,5bc
exc,6,-0.56316,0.009167,0.999995,d1,HE654725.1,43905,44568,-,gene-SL1344_P2_0055,SL1344_P2_0055,5bc
pilR,5,-0.69194,0.011979,0.999995,d1,HE654725.1,74137,75235,-,gene-SL1344_P2_0089,SL1344_P2_0089,5bc
rfbG,3,-2.0812,0.010417,0.999995,d1,FQ312003.1,2169980,2171060,-,gene-SL1344_2068,SL1344_2068,5bc
traE,5,-0.82063,0.01713,0.999995,d1,HE654724.1,29945,30512,-,gene-SL1344_P1_0030,SL1344_P1_0030,5bc
traE,5,-0.82063,0.01713,0.999995,d1,HE654725.1,67937,68762,-,gene-SL1344_P2_0079,SL1344_P2_0079,5bc
traY,5,-0.52528,0.017917,0.999995,d1,HE654724.1,31263,31584,-,gene-SL1344_P1_0033,SL1344_P1_0033,5bc
traY,5,-0.52528,0.017917,0.999995,d1,HE654725.1,44632,46864,-,gene-SL1344_P2_0056,SL1344_P2_0056,5bc
ilvD,2,-3.4518,0.011979,0.999995,d1,FQ312003.1,4133531,4135382,+,gene-SL1344_3864,SL1344_3864,5bc
aph(3'')-Ib,3,-2.455,0.019318,0.999995,d1,HE654726.1,7850,8654,-,gene-SL1344_P3_0014,SL1344_P3_0014,5bc
traF,7,-0.71397,0.044097,0.999995,d1,HE654724.1,16421,17171,-,gene-SL1344_P1_0014,SL1344_P1_0014,5bc
traF,7,-0.71397,0.044097,0.999995,d1,HE654725.1,66650,67853,-,gene-SL1344_P2_0078,SL1344_P2_0078,5bc
