Name,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Chromosome,Start,End,Strand,ID,locus_tag,num_control_bcs
rfaP,3,-7.9404,0.00099,0.999995,d1,FQ312003.1,3937261,3938059,-,gene-SL1344_3687,SL1344_3687,5bc
rfaB,5,-3.5436,0.00099,0.999995,d1,FQ312003.1,3935847,3936927,-,gene-SL1344_3685,SL1344_3685,5bc
rfaI,2,-8.3723,0.00099,0.999995,d1,FQ312003.1,3934828,3935842,-,gene-SL1344_3684,SL1344_3684,5bc
rfbI,3,-4.3408,0.00099,0.999995,d1,FQ312003.1,2171834,2172827,-,gene-SL1344_2070,SL1344_2070,5bc
rfbJ,2,-8.3392,0.00099,0.999995,d1,FQ312003.1,2167713,2168613,-,gene-SL1344_2066,SL1344_2066,5bc
rfbH,2,-5.7433,0.004125,0.999995,d1,FQ312003.1,2168640,2169954,-,gene-SL1344_2067,SL1344_2067,5bc
rfaL,3,-1.8479,0.030253,0.999995,d1,FQ312003.1,3929603,3930818,+,gene-SL1344_3679,SL1344_3679,5bc
iolR,2,-6.4483,0.029084,0.999995,d1,FQ312003.1,4679121,4679955,+,gene-SL1344_4350,SL1344_4350,5bc
SL1344_3813,2,-7.674,0.029084,0.999995,d1,FQ312003.1,4073650,4074586,+,gene-SL1344_3813,SL1344_3813,5bc
rfbX,2,-7.119,0.034158,0.999995,d1,FQ312003.1,2166339,2167632,-,gene-SL1344_2065,SL1344_2065,5bc
rfbP,2,-5.8464,0.106661,0.999995,d1,FQ312003.1,2158645,2160076,-,gene-SL1344_2059,SL1344_2059,5bc
cpsB2,2,-2.8436,0.106848,0.999995,d1,FQ312003.1,2161567,2163007,-,gene-SL1344_2061,SL1344_2061,5bc
rfbN,2,-3.8018,0.12553,0.999995,d1,FQ312003.1,2163007,2163952,-,gene-SL1344_2062,SL1344_2062,5bc
ptsN,2,-3.4028,0.160454,0.999995,d1,FQ312003.1,3507687,3508179,+,gene-SL1344_3294,SL1344_3294,5bc
rfbC,2,-3.4961,0.160454,0.999995,d1,FQ312003.1,2172832,2173384,-,gene-SL1344_2071,SL1344_2071,5bc
rfaK,2,-1.6568,0.166942,0.999995,d1,FQ312003.1,3930874,3931738,-,gene-SL1344_3680,SL1344_3680,5bc
tolC,1,-10.021,0.12553,0.999995,d1,FQ312003.1,3369270,3370746,+,gene-SL1344_3160,SL1344_3160,5bc
SL1344_3500,2,-3.0917,0.17896,0.999995,d1,FQ312003.1,3719300,3720056,-,gene-SL1344_3500,SL1344_3500,5bc
alr-b,2,-2.8541,0.180811,0.999995,d1,FQ312003.1,4489329,4490409,+,gene-SL1344_4183,SL1344_4183,5bc
mobA,5,-1.345,0.352056,0.999995,d1,FQ312003.1,4223633,4224218,-,gene-SL1344_3942,SL1344_3942,5bc
mobA,5,-1.345,0.352056,0.999995,d1,HE654726.1,3337,5467,-,gene-SL1344_P3_0008,SL1344_P3_0008,5bc
ybgC,1,-9.3687,0.160454,0.999995,d1,FQ312003.1,812437,812842,+,gene-SL1344_0726,SL1344_0726,5bc
dcuR,2,-1.66,0.252045,0.999995,d1,FQ312003.1,4570468,4571188,-,gene-SL1344_4240,SL1344_4240,5bc
hydA,1,-7.6215,0.167535,0.999995,d1,FQ312003.1,3010312,3012553,-,gene-SL1344_2822,SL1344_2822,5bc
nsrR,2,-4.4073,0.386322,0.999995,d1,FQ312003.1,4631180,4631606,+,gene-SL1344_4300,SL1344_4300,5bc
rfbF,1,-4.8768,0.236049,0.999995,d1,FQ312003.1,2171064,2171838,-,gene-SL1344_2069,SL1344_2069,5bc
stbC,2,-1.6161,0.430163,0.999995,d1,FQ312003.1,380512,383080,-,gene-SL1344_0333,SL1344_0333,5bc
rfbK,2,-1.432,0.489604,0.999995,d1,FQ312003.1,2160147,2161581,-,gene-SL1344_2060,SL1344_2060,5bc
sulII,3,-1.6669,0.617849,0.999995,d1,HE654726.1,26,842,-,gene-SL1344_P3_0001,SL1344_P3_0001,5bc
ligB,1,-8.1356,0.340553,0.999995,d1,FQ312003.1,3952469,3954155,-,gene-SL1344_3705,SL1344_3705,5bc
damX,1,-8.0797,0.345545,0.999995,d1,FQ312003.1,3661225,3662503,-,gene-SL1344_3452,SL1344_3452,5bc
siiE,41,-0.0048756,0.753556,0.999995,d1,FQ312003.1,4503765,4520445,+,gene-SL1344_4197,SL1344_4197,5bc
yddG,3,-1.6104,0.629827,0.999995,d1,FQ312003.1,1610676,1611501,+,gene-SL1344_1502,SL1344_1502,5bc
glpB,2,-1.4762,0.617849,0.999995,d1,FQ312003.1,2389569,2390829,+,gene-SL1344_2254,SL1344_2254,5bc
repC,1,-6.8986,0.487368,0.999995,d1,HE654724.1,92241,92487,-,gene-SL1344_P1_0102,SL1344_P1_0102,5bc
repC,1,-6.8986,0.487368,0.999995,d1,HE654726.1,1149,1998,-,gene-SL1344_P3_0003,SL1344_P3_0003,5bc
yaiV,4,-1.1658,0.688839,0.999995,d1,FQ312003.1,427672,428296,+,gene-SL1344_0369,SL1344_0369,5bc
ompD,2,-1.0935,0.680833,0.999995,d1,FQ312003.1,1611986,1613114,+,gene-SL1344_1503,SL1344_1503,5bc
yhfL,1,-6.3723,0.57793,0.999995,d1,FQ312003.1,3657450,3657621,+,gene-SL1344_3447,SL1344_3447,5bc
psd,1,-6.2762,0.580708,0.999995,d1,FQ312003.1,4613158,4614127,-,gene-SL1344_4285,SL1344_4285,5bc
rfbU,1,-3.5276,0.580708,0.999995,d1,FQ312003.1,2163952,2165014,-,gene-SL1344_2063,SL1344_2063,5bc
SL1344_2697,1,-4.2919,0.612551,0.999995,d1,FQ312003.1,2879069,2879447,-,gene-SL1344_2697,SL1344_2697,5bc
orf245,2,-1.1895,0.697772,0.999995,d1,FQ312003.1,1420908,1421646,-,gene-SL1344_1315,SL1344_1315,5bc
hybC,1,-3.2467,0.628713,0.999995,d1,FQ312003.1,3329489,3331193,-,gene-SL1344_3121,SL1344_3121,5bc
iadA,1,-2.9924,0.629827,0.999995,d1,FQ312003.1,4786675,4787848,-,gene-SL1344_4443,SL1344_4443,5bc
cytR,1,-4.2847,0.629827,0.999995,d1,FQ312003.1,4323618,4324644,-,gene-SL1344_4043,SL1344_4043,5bc
metL,1,-4.0546,0.663248,0.999995,d1,FQ312003.1,4332313,4334746,+,gene-SL1344_4050,SL1344_4050,5bc
yihQ,3,-1.0667,0.753556,0.999995,d1,FQ312003.1,4250102,4252139,-,gene-SL1344_3965,SL1344_3965,5bc
SL1344_3475,1,-5.1576,0.663248,0.999995,d1,FQ312003.1,3688459,3689374,+,gene-SL1344_3475,SL1344_3475,5bc
pduP,2,-1.1813,0.753556,0.999995,d1,FQ312003.1,2123935,2125330,+,gene-SL1344_2027,SL1344_2027,5bc
ssrA,5,-0.71951,0.774725,0.999995,d1,FQ312003.1,1433687,1436450,-,gene-SL1344_1326,SL1344_1326,5bc
nagC,1,-3.2749,0.667877,0.999995,d1,FQ312003.1,741102,742323,-,gene-SL1344_0664,SL1344_0664,5bc
hybF,1,-2.995,0.667877,0.999995,d1,FQ312003.1,3328180,3328522,-,gene-SL1344_3118,SL1344_3118,5bc
SL1344_1191,1,-3.1177,0.667877,0.999995,d1,FQ312003.1,1295975,1297610,+,gene-SL1344_1191,SL1344_1191,5bc
SL1344_1756,2,-0.7924,0.753556,0.999995,d1,FQ312003.1,1882445,1884047,+,gene-SL1344_1756,SL1344_1756,5bc
acrA,1,-3.2384,0.677249,0.999995,d1,FQ312003.1,531906,533100,-,gene-SL1344_0469,SL1344_0469,5bc
ssaS,2,-1.511,0.753556,0.999995,d1,FQ312003.1,1456239,1456506,+,gene-SL1344_1354,SL1344_1354,5bc
tktA,1,-3.428,0.680833,0.999995,d1,FQ312003.1,3257112,3259059,-,gene-SL1344_3052,SL1344_3052,5bc
degS,1,-3.4807,0.680833,0.999995,d1,FQ312003.1,3538293,3539364,+,gene-SL1344_3321,SL1344_3321,5bc
repA,1,-3.1222,0.680833,0.999995,d1,HE654724.1,91052,91934,-,gene-SL1344_P1_0099,SL1344_P1_0099,5bc
repA,1,-3.1222,0.680833,0.999995,d1,HE654726.1,1987,2827,-,gene-SL1344_P3_0004,SL1344_P3_0004,5bc
aroC,1,-2.7618,0.680833,0.999995,d1,FQ312003.1,2492256,2493342,-,gene-SL1344_2353,SL1344_2353,5bc
pstA,1,-2.9238,0.680833,0.999995,d1,FQ312003.1,4082910,4083801,-,gene-SL1344_3822,SL1344_3822,5bc
focA,1,-2.4153,0.680833,0.999995,d1,FQ312003.1,1014004,1014862,-,gene-SL1344_0911,SL1344_0911,5bc
yfgL,1,-3.189,0.68711,0.999995,d1,FQ312003.1,2650763,2651942,-,gene-SL1344_2482,SL1344_2482,5bc
pstS,1,-2.6563,0.692627,0.999995,d1,FQ312003.1,4084895,4085936,-,gene-SL1344_3824,SL1344_3824,5bc
phsA,2,-0.57813,0.774725,0.999995,d1,FQ312003.1,2136389,2138666,-,gene-SL1344_2041,SL1344_2041,5bc
aspA,1,-2.1031,0.695167,0.999995,d1,FQ312003.1,4591525,4592962,-,gene-SL1344_4263,SL1344_4263,5bc
SL1344_2314,1,-2.5729,0.695167,0.999995,d1,FQ312003.1,2455098,2456118,+,gene-SL1344_2314,SL1344_2314,5bc
pnp,1,-2.9908,0.695167,0.999995,d1,FQ312003.1,3469951,3472087,-,gene-SL1344_3255,SL1344_3255,5bc
celB,2,-2.2975,0.793516,0.999995,d1,FQ312003.1,1349062,1350421,+,gene-SL1344_1248,SL1344_1248,5bc
