Name,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Chromosome,Start,End,Strand,ID,locus_tag,num_control_bcs
traY,11,-0.84054,0.001366,0.999995,d1,HE654724.1,31263,31584,-,gene-SL1344_P1_0033,SL1344_P1_0033,5bc
traY,11,-0.84054,0.001366,0.999995,d1,HE654725.1,44632,46864,-,gene-SL1344_P2_0056,SL1344_P2_0056,5bc
pilQ,6,-0.9276,0.001366,0.999995,d1,HE654725.1,75247,76801,-,gene-SL1344_P2_0090,SL1344_P2_0090,5bc
rfaI,2,-6.0099,0.001366,0.999995,d1,FQ312003.1,3934828,3935842,-,gene-SL1344_3684,SL1344_3684,5bc
pilV,7,-0.62817,0.005738,0.999995,d1,HE654725.1,71002,72295,-,gene-SL1344_P2_0085,SL1344_P2_0085,5bc
yagA,7,-0.7902,0.005738,0.999995,d1,HE654725.1,6668,8015,+,gene-SL1344_P2_0011,SL1344_P2_0011,5bc
spvR,6,-0.62429,0.011124,0.999995,d1,HE654724.1,61519,62413,+,gene-SL1344_P1_0066,SL1344_P1_0066,5bc
traD,6,-0.80381,0.016803,0.999995,d1,HE654724.1,7372,9535,-,gene-SL1344_P1_0007,SL1344_P1_0007,5bc
hybA,2,-3.4925,0.006148,0.999995,d1,FQ312003.1,3332357,3333344,-,gene-SL1344_3123,SL1344_3123,5bc
traG,5,-1.1656,0.016803,0.999995,d1,HE654724.1,11188,14011,-,gene-SL1344_P1_0010,SL1344_P1_0010,5bc
traG,5,-1.1656,0.016803,0.999995,d1,HE654725.1,66006,66591,-,gene-SL1344_P2_0077,SL1344_P2_0077,5bc
exc,3,-1.4312,0.018256,0.999995,d1,HE654725.1,43905,44568,-,gene-SL1344_P2_0055,SL1344_P2_0055,5bc
rfbV,2,-2.6064,0.016803,0.999995,d1,FQ312003.1,2165333,2166335,-,gene-SL1344_2064,SL1344_2064,5bc
traB,4,-0.90159,0.029171,0.999995,d1,HE654724.1,27797,29219,-,gene-SL1344_P1_0028,SL1344_P1_0028,5bc
traB,4,-0.90159,0.029171,0.999995,d1,HE654725.1,84946,85480,-,gene-SL1344_P2_0102,SL1344_P2_0102,5bc
pilS,3,-0.84575,0.023126,0.999995,d1,HE654725.1,73505,74120,-,gene-SL1344_P2_0088,SL1344_P2_0088,5bc
SL1344_4470,2,-2.638,0.022883,0.999995,d1,FQ312003.1,4818058,4819120,+,gene-SL1344_4470,SL1344_4470,5bc
rfaP,2,-3.4226,0.023126,0.999995,d1,FQ312003.1,3937261,3938059,-,gene-SL1344_3687,SL1344_3687,5bc
aroA,2,-3.033,0.024863,0.999995,d1,FQ312003.1,1019200,1020484,+,gene-SL1344_0915,SL1344_0915,5bc
traS,3,-0.90843,0.035291,0.999995,d1,HE654724.1,10678,11173,-,gene-SL1344_P1_0009,SL1344_P1_0009,5bc
