Name,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Chromosome,Start,End,Strand,ID,locus_tag,num_control_bcs
rfaB,4,-0.88793,5.1e-05,1.0,d1,FQ312003.1,3935847,3936927,-,gene-SL1344_3685,SL1344_3685,15bc
rfaG,2,-6.3257,5.1e-05,1.0,d1,FQ312003.1,3938051,3939176,-,gene-SL1344_3688,SL1344_3688,15bc
mobA,7,-0.97197,5.1e-05,1.0,d1,FQ312003.1,4223633,4224218,-,gene-SL1344_3942,SL1344_3942,15bc
mobA,7,-0.97197,5.1e-05,1.0,d1,HE654726.1,3337,5467,-,gene-SL1344_P3_0008,SL1344_P3_0008,15bc
strB,5,-0.55776,5.1e-05,1.0,d1,HE654726.1,7014,7860,-,gene-SL1344_P3_0013,SL1344_P3_0013,15bc
rfaI,2,-4.5467,5.1e-05,1.0,d1,FQ312003.1,3934828,3935842,-,gene-SL1344_3684,SL1344_3684,15bc
rfaP,2,-3.1054,5.1e-05,1.0,d1,FQ312003.1,3937261,3938059,-,gene-SL1344_3687,SL1344_3687,15bc
rfbH,2,-2.2708,5.1e-05,1.0,d1,FQ312003.1,2168640,2169954,-,gene-SL1344_2067,SL1344_2067,15bc
gor,2,-2.0062,5.1e-05,1.0,d1,FQ312003.1,3789917,3791270,+,gene-SL1344_3562,SL1344_3562,15bc
rfbP,2,-1.6406,5.1e-05,1.0,d1,FQ312003.1,2158645,2160076,-,gene-SL1344_2059,SL1344_2059,15bc
rfaL,2,-1.1166,5.1e-05,1.0,d1,FQ312003.1,3929603,3930818,+,gene-SL1344_3679,SL1344_3679,15bc
ptsI,1,-4.8222,5.1e-05,1.0,d1,FQ312003.1,2542607,2544335,+,gene-SL1344_2395,SL1344_2395,15bc
cpsB2,2,-0.60087,5.1e-05,1.0,d1,FQ312003.1,2161567,2163007,-,gene-SL1344_2061,SL1344_2061,15bc
prgH,1,-4.0569,5.1e-05,1.0,d1,FQ312003.1,3038917,3040096,-,gene-SL1344_2854,SL1344_2854,15bc
pepA,1,-5.3128,5.1e-05,1.0,d1,FQ312003.1,4741030,4742542,-,gene-SL1344_4407,SL1344_4407,15bc
yebC,1,-5.168,5.1e-05,1.0,d1,FQ312003.1,1951352,1952093,-,gene-SL1344_1834,SL1344_1834,15bc
rfaF,1,-4.8964,5.1e-05,1.0,d1,FQ312003.1,3927564,3928611,+,gene-SL1344_3677,SL1344_3677,15bc
SL1344_3500,1,-3.3594,5.1e-05,1.0,d1,FQ312003.1,3719300,3720056,-,gene-SL1344_3500,SL1344_3500,15bc
rfbA,1,-3.0258,5.1e-05,1.0,d1,FQ312003.1,2173384,2174263,-,gene-SL1344_2072,SL1344_2072,15bc
rfbX,1,-2.7676,5.1e-05,1.0,d1,FQ312003.1,2166339,2167632,-,gene-SL1344_2065,SL1344_2065,15bc
hypD,1,-2.8002,5.1e-05,1.0,d1,FQ312003.1,3023933,3025055,+,gene-SL1344_2837,SL1344_2837,15bc
xerD,1,-2.3905,5.1e-05,1.0,d1,FQ312003.1,3225144,3226041,-,gene-SL1344_3020,SL1344_3020,15bc
aph(3'')-Ib,1,-2.0194,5.1e-05,1.0,d1,HE654726.1,7850,8654,-,gene-SL1344_P3_0014,SL1344_P3_0014,15bc
aroA,1,-1.9857,5.1e-05,1.0,d1,FQ312003.1,1019200,1020484,+,gene-SL1344_0915,SL1344_0915,15bc
gshB,1,-1.9274,5.1e-05,1.0,d1,FQ312003.1,3277641,3278589,+,gene-SL1344_3070,SL1344_3070,15bc
moaB,1,-1.6358,5.1e-05,1.0,d1,FQ312003.1,870903,871416,+,gene-SL1344_0779,SL1344_0779,15bc
ychF,1,-1.5975,5.1e-05,1.0,d1,FQ312003.1,1838670,1839762,+,gene-SL1344_1712,SL1344_1712,15bc
repA,1,-1.5958,5.1e-05,1.0,d1,HE654724.1,91052,91934,-,gene-SL1344_P1_0099,SL1344_P1_0099,15bc
repA,1,-1.5958,5.1e-05,1.0,d1,HE654726.1,1987,2827,-,gene-SL1344_P3_0004,SL1344_P3_0004,15bc
rfbV,1,-1.5856,5.1e-05,1.0,d1,FQ312003.1,2165333,2166335,-,gene-SL1344_2064,SL1344_2064,15bc
cpxA,1,-1.5743,5.1e-05,1.0,d1,FQ312003.1,4289813,4291187,-,gene-SL1344_4007,SL1344_4007,15bc
sapA,1,-1.4869,5.1e-05,1.0,d1,FQ312003.1,1740531,1742181,+,gene-SL1344_1622,SL1344_1622,15bc
rfaQ,1,-1.363,5.1e-05,1.0,d1,FQ312003.1,3939172,3940207,-,gene-SL1344_3689,SL1344_3689,15bc
rfbI,1,-1.1921,5.1e-05,1.0,d1,FQ312003.1,2171834,2172827,-,gene-SL1344_2070,SL1344_2070,15bc
rbsR,1,-1.1846,5.1e-05,1.0,d1,FQ312003.1,4117854,4118853,+,gene-SL1344_3853,SL1344_3853,15bc
SL1344_P3_0006,1,-1.1232,5.1e-05,1.0,d1,HE654726.1,3064,3277,-,gene-SL1344_P3_0006,SL1344_P3_0006,15bc
rfbD,1,-1.0558,5.1e-05,1.0,d1,FQ312003.1,2174310,2175210,-,gene-SL1344_2073,SL1344_2073,15bc
dcuB,1,-1.0154,5.1e-05,1.0,d1,FQ312003.1,4568398,4569739,-,gene-SL1344_4238,SL1344_4238,15bc
alr-b,1,-1.0055,5.1e-05,1.0,d1,FQ312003.1,4489329,4490409,+,gene-SL1344_4183,SL1344_4183,15bc
SL1344_4017,1,-0.95456,5.1e-05,1.0,d1,FQ312003.1,4300458,4301181,+,gene-SL1344_4017,SL1344_4017,15bc
phoB,1,-0.8093,5.1e-05,1.0,d1,FQ312003.1,450280,450970,+,gene-SL1344_0392,SL1344_0392,15bc
yjgF,1,-0.78299,5.1e-05,1.0,d1,FQ312003.1,4723615,4724002,-,gene-SL1344_4389,SL1344_4389,15bc
yeiH,1,-0.76859,5.1e-05,1.0,d1,FQ312003.1,2299246,2300296,+,gene-SL1344_2179,SL1344_2179,15bc
nsrR,1,-0.7218,5.1e-05,1.0,d1,FQ312003.1,4631180,4631606,+,gene-SL1344_4300,SL1344_4300,15bc
pgi,1,-0.59712,5.1e-05,1.0,d1,FQ312003.1,4461452,4463102,+,gene-SL1344_4157,SL1344_4157,15bc
SL1344_4467,1,-0.5852,5.1e-05,1.0,d1,FQ312003.1,4815953,4816415,+,gene-SL1344_4467,SL1344_4467,15bc
pbpG,1,-0.5554,5.1e-05,1.0,d1,FQ312003.1,2263240,2264149,-,gene-SL1344_2146,SL1344_2146,15bc
yjfQ,1,-0.53823,5.1e-05,1.0,d1,FQ312003.1,4643525,4644281,-,gene-SL1344_4314,SL1344_4314,15bc
SL1344_1567,4,0.082233,5.1e-05,7e-06,d1,FQ312003.1,1683728,1685279,+,gene-SL1344_1567,SL1344_1567,15bc
uvrD,1,-0.4942,5.1e-05,1.0,d1,FQ312003.1,4177085,4179248,+,gene-SL1344_3905,SL1344_3905,15bc
sanA,1,-0.46761,5.1e-05,1.0,d1,FQ312003.1,2277942,2278662,+,gene-SL1344_2161,SL1344_2161,15bc
SL1344_0084,1,-0.454,5.1e-05,1.0,d1,FQ312003.1,95961,97851,+,gene-SL1344_0084,SL1344_0084,15bc
dcuR,1,-0.45116,5.1e-05,1.0,d1,FQ312003.1,4570468,4571188,-,gene-SL1344_4240,SL1344_4240,15bc
prgJ,1,-0.4356,5.1e-05,1.0,d1,FQ312003.1,3038326,3038632,-,gene-SL1344_2852,SL1344_2852,15bc
rnfD,1,-0.43426,5.1e-05,1.0,d1,FQ312003.1,1487362,1488421,-,gene-SL1344_1388,SL1344_1388,15bc
