Name,number_of_barcodes,LFC,neg_selection_fdr,pos_selection_fdr,contrast,Chromosome,Start,End,Strand,ID,locus_tag,num_control_bcs
rfaB,5,-2.1704,5.1e-05,1.0,d1,FQ312003.1,3935847,3936927,-,gene-SL1344_3685,SL1344_3685,15bc
mobA,5,-1.3301,5.1e-05,1.0,d1,FQ312003.1,4223633,4224218,-,gene-SL1344_3942,SL1344_3942,15bc
mobA,5,-1.3301,5.1e-05,1.0,d1,HE654726.1,3337,5467,-,gene-SL1344_P3_0008,SL1344_P3_0008,15bc
rfaL,3,-1.6731,5.1e-05,1.0,d1,FQ312003.1,3929603,3930818,+,gene-SL1344_3679,SL1344_3679,15bc
sulII,3,-1.898,5.1e-05,1.0,d1,HE654726.1,26,842,-,gene-SL1344_P3_0001,SL1344_P3_0001,15bc
rfbH,2,-2.8512,5.1e-05,1.0,d1,FQ312003.1,2168640,2169954,-,gene-SL1344_2067,SL1344_2067,15bc
rfbI,3,-2.068,5.1e-05,1.0,d1,FQ312003.1,2171834,2172827,-,gene-SL1344_2070,SL1344_2070,15bc
SL1344_3813,3,-7.9982,5.1e-05,1.0,d1,FQ312003.1,4073650,4074586,+,gene-SL1344_3813,SL1344_3813,15bc
cpsB2,2,-1.4511,5.1e-05,1.0,d1,FQ312003.1,2161567,2163007,-,gene-SL1344_2061,SL1344_2061,15bc
ssrA,5,-0.23621,0.00365,1.0,d1,FQ312003.1,1433687,1436450,-,gene-SL1344_1326,SL1344_1326,15bc
rfbJ,2,-3.9117,5.1e-05,1.0,d1,FQ312003.1,2167713,2168613,-,gene-SL1344_2066,SL1344_2066,15bc
rfaP,3,-3.8412,5.1e-05,1.0,d1,FQ312003.1,3937261,3938059,-,gene-SL1344_3687,SL1344_3687,15bc
hybC,1,-5.9253,5.1e-05,1.0,d1,FQ312003.1,3329489,3331193,-,gene-SL1344_3121,SL1344_3121,15bc
rfbN,2,-2.3119,5.1e-05,1.0,d1,FQ312003.1,2163007,2163952,-,gene-SL1344_2062,SL1344_2062,15bc
rfaI,2,-4.1848,5.1e-05,1.0,d1,FQ312003.1,3934828,3935842,-,gene-SL1344_3684,SL1344_3684,15bc
SL1344_3500,2,-2.2599,5.1e-05,1.0,d1,FQ312003.1,3719300,3720056,-,gene-SL1344_3500,SL1344_3500,15bc
rfbC,2,-2.078,5.1e-05,1.0,d1,FQ312003.1,2172832,2173384,-,gene-SL1344_2071,SL1344_2071,15bc
rfaK,2,-0.76502,5.1e-05,1.0,d1,FQ312003.1,3930874,3931738,-,gene-SL1344_3680,SL1344_3680,15bc
rfbF,1,-3.3918,5.1e-05,1.0,d1,FQ312003.1,2171064,2171838,-,gene-SL1344_2069,SL1344_2069,15bc
iolR,2,-4.6547,5.1e-05,1.0,d1,FQ312003.1,4679121,4679955,+,gene-SL1344_4350,SL1344_4350,15bc
rfbK,2,-0.71053,5.1e-05,1.0,d1,FQ312003.1,2160147,2161581,-,gene-SL1344_2060,SL1344_2060,15bc
rfbX,2,-3.5143,5.1e-05,1.0,d1,FQ312003.1,2166339,2167632,-,gene-SL1344_2065,SL1344_2065,15bc
aph(3'')-Ib,1,-2.0961,5.1e-05,1.0,d1,HE654726.1,7850,8654,-,gene-SL1344_P3_0014,SL1344_P3_0014,15bc
rfbP,2,-2.4859,5.1e-05,1.0,d1,FQ312003.1,2158645,2160076,-,gene-SL1344_2059,SL1344_2059,15bc
damX,2,-5.8233,5.1e-05,1.0,d1,FQ312003.1,3661225,3662503,-,gene-SL1344_3452,SL1344_3452,15bc
ompD,2,-1.2175,5.1e-05,1.0,d1,FQ312003.1,1611986,1613114,+,gene-SL1344_1503,SL1344_1503,15bc
SL1344_1484,3,-0.27899,0.021931,1.0,d1,FQ312003.1,1587257,1588724,-,gene-SL1344_1484,SL1344_1484,15bc
ptsN,2,-1.9907,5.1e-05,1.0,d1,FQ312003.1,3507687,3508179,+,gene-SL1344_3294,SL1344_3294,15bc
SL1344_4467,2,-0.46232,5.1e-05,1.0,d1,FQ312003.1,4815953,4816415,+,gene-SL1344_4467,SL1344_4467,15bc
hybF,1,-4.8557,5.1e-05,1.0,d1,FQ312003.1,3328180,3328522,-,gene-SL1344_3118,SL1344_3118,15bc
